rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
9412,8832676,K08173.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.015,1,0,0,0,323.665,0.031,20.37,1178,1.58,133,0.07
9042,6049470,K08115.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.048,1,0,0,0,354.79,0.449,12.62,81,0.47,134,0.08
6139,3329985,K04971.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,146.355,0.0515,5.034,820,0.82,135,0.08
620,3230491,K01096.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,1500,0.9243,7.109,9592,9.8,139,0.09
3757,5957181,K04132.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,393.343,0.2607,9.481,1750,2.27,140,0.09
8307,6443274,K07567.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,608.206,0.0082,13.63,554.2,1.46,143,0.1
5056,6356400,K07776.01,Unknown,CANDIDATE,CANDIDATE,0.74,0,0,0,0,541.925,0.95,21.4,1504.2,3.15,144,0.1
6253,5181086,K05133.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,494.624,0.4064,8.36,307,1.04,145,0.11
6846,12418418,K05971.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,493.306,0.327,5.425,404.5,1.08,149,0.12
8858,8516349,K05531.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,559.283,0.3058,4.245,1360,2.54,150,0.12
9006,5775090,K08105.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.021,1,0,0,0,432.967,0.189,10.85,866,1.64,151,0.12
5899,5364090,K05153.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,354.633,0.3134,2.227,280.9,0.9,152,0.13
6655,9114614,K05616.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,441.619,0.5027,5.372,820,1.71,152,0.12
9080,11854061,K08230.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.001,1,0,0,0,504.884,1.26,20.18,5058,25.19,157,0.14
4474,9005321,K04848.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,384.696,0.5221,6.167,787,1.78,157,0.14
