rowid,kepoi_name,koi_period,koi_prad,koi_teq
8411,K06715.01,0.687772,7.9e-08,-7.9e-08
1316,K01485.01,0.687895,1.21e-06,-1.21e-06
5286,K03859.01,0.687898,1.03e-07,-1.03e-07
319,K01169.01,0.68921,4.5e-07,-4.5e-07
4534,K03246.01,0.689968,1.283e-06,-1.283e-06
2502,K02738.01,0.690406,1.223e-06,-1.223e-06
8888,K07306.01,0.691561,5.043e-06,-5.043e-06
789,K01378.02,0.691666,2.562e-06,-2.562e-06
8778,K07451.01,0.691824,8.01e-06,-8.01e-06
1192,K01459.01,0.692015,1.72e-07,-1.72e-07
7755,K06947.01,0.692239,1.29e-07,-1.29e-07
5869,K02993.01,0.692694,2.06e-07,-2.06e-07
6920,K06095.01,0.692808,1.139e-06,-1.139e-06
3590,K04072.01,0.692978,1.489e-06,-1.489e-06
1879,K02079.01,0.693843,1.62e-06,-1.62e-06
8366,K07903.01,0.694611,3.741e-06,-3.741e-06
5245,K03917.01,0.695955,6.16e-06,-6.16e-06
5756,K01131.01,0.696125,3.15e-07,-3.15e-07
3793,K04211.01,0.696287,3.972e-06,-3.972e-06
8199,K04211.02,0.69629,4.587e-06,-4.587e-06
5822,K03962.01,0.697997,4.3e-07,-4.3e-07
8287,K06751.02,0.69836,9.309e-06,-9.309e-06
2488,K02813.01,0.698461,1.761e-06,-1.761e-06
6867,K05862.01,0.699986,9.2e-08,-9.2e-08
7470,K06771.01,0.700606,3.642e-06,-3.642e-06
3772,K04207.01,0.701944,1.49e-06,-1.49e-06
3494,K07636.01,0.70274,4.615e-06,-4.615e-06
2410,K02794.01,0.7034,7.88e-07,-7.88e-07
5821,K03961.01,0.704542,1.027e-06,-1.027e-06
7474,K06902.01,0.705174,9.4e-08,-9.4e-08
